10,10,158,202
10,10,158,202
178,10,157,202
178,10,157,202
345,10,158,202
345,10,158,202
513,10,157,202
513,10,157,202
680,10,157,202
680,10,157,202
847,10,157,202
847,10,157,202
1014,10,158,202
1014,10,158,202
1182,10,158,202
1350,10,149,202
1509,10,142,202
1661,10,125,202
1796,10,125,202
1931,10,126,205
2067,10,136,202
2213,10,138,202
2361,10,143,202
2514,10,148,202
2672,10,145,202
2827,10,125,202
2962,10,125,202
3097,10,148,202
3255,10,154,202
3419,10,154,202
3583,10,157,202
3750,10,158,202
3918,10,149,203
4077,10,142,206
4229,10,128,205
4367,10,125,205
4502,10,126,209
4638,10,136,205
4784,10,138,205
4932,10,143,205
5085,10,149,205
5244,10,147,205
5401,10,127,205
5538,10,127,205
5675,10,148,205
5833,10,154,206
5997,10,157,205
6164,10,157,205
6331,10,157,206
6498,10,157,203
6665,10,157,202
1182,10,158,202
1350,10,149,202
1509,10,142,202
1661,10,125,202
1796,10,125,202
1931,10,126,205
2067,10,136,202
2213,10,138,202
2361,10,143,202
6832,10,147,202
6989,10,148,202
7147,10,151,202
7308,10,156,202
7474,10,157,202
7641,10,158,202
7809,10,157,202
7976,10,156,202
10,229,176,202
196,229,193,202
399,229,194,202
603,229,198,202
811,229,200,202
1021,229,199,202
1230,229,195,202
1435,229,199,202
1644,229,199,206
1853,229,199,208
2062,229,199,216
2271,229,198,216
2479,229,200,216
2479,229,200,216
2689,229,203,213
2689,229,203,213
2902,229,205,205
2902,229,205,205
3117,229,204,206
3117,229,204,206
3331,229,204,205
3331,229,204,205
3545,229,201,204
3545,229,201,204
3756,229,200,203
3756,229,200,203
3966,229,201,202
3966,229,201,202
4177,229,200,202
4387,229,201,202
4387,229,201,202
4598,229,187,203
4598,229,187,203
4795,229,158,203
4795,229,158,203
4963,229,169,203
4963,229,169,203
5142,229,197,202
5142,229,197,202
5349,229,187,202
5349,229,187,202
5546,229,168,202
5546,229,168,202
5724,229,158,202
5892,229,158,202
6060,229,157,202
6227,229,157,202
6394,229,158,202
6562,229,158,202
6730,229,157,202
6897,229,157,202
7064,229,157,202
7231,229,157,202
7398,229,157,202
7565,229,157,202
7732,229,158,202
7900,229,158,202
10,455,158,202
178,455,158,202
346,455,158,202
514,455,157,202
681,455,155,202
846,455,152,202
1008,455,148,202
1166,455,145,202
1321,455,142,202
1473,455,139,202
1622,455,137,202
1769,455,136,202
1915,455,136,202
2061,455,136,202
2207,455,140,202
2357,455,143,202
2510,455,143,202
2663,455,143,202
2816,455,143,202
2816,455,143,202
2816,455,143,202
2969,455,137,202
3116,455,125,202
3251,455,433,464
3694,455,451,548
4155,455,469,477
4634,455,487,575
5131,455,505,534
5646,455,543,535
6199,455,543,463
